,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
28,layer1.1.se.avg_pool,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 1, 1])",0,0.0009765625,0,"831,744",0,0,0.0001068115234375
29,layer1.1.se.fc.0,"torch.Size([1, 256])","torch.Size([1, 16])","4,096",6.103515625e-05,"8,176","4,096","17,408",64,5.1975250244140625e-05
30,layer1.1.se.fc.1,"torch.Size([1, 16])","torch.Size([1, 16])",0,6.103515625e-05,16,16,64,64,1.5020370483398438e-05
31,layer1.1.se.fc.2,"torch.Size([1, 16])","torch.Size([1, 256])","4,096",0.0009765625,"7,936","4,096","16,448","1,024",2.574920654296875e-05
32,layer1.1.se.fc.3,"torch.Size([1, 256])","torch.Size([1, 256])",0,0.0009765625,0,0,0,0,1.6689300537109375e-05
33,layer1.2.conv1,"torch.Size([1, 256, 56, 56])","torch.Size([1, 512, 56, 56])","131,072",6.125,"820,477,952","411,041,792","3,735,552","6,422,528",0.0014955997467041016
34,layer1.2.bn1,"torch.Size([1, 512, 56, 56])","torch.Size([1, 512, 56, 56])","1,024",6.125,"6,422,528","3,211,264","6,426,624","6,422,528",0.002199888229370117
35,layer1.2.conv2,"torch.Size([1, 512, 56, 56])","torch.Size([1, 512, 56, 56])","36,864",6.125,"229,605,376","115,605,504","6,569,984","6,422,528",0.0013494491577148438
36,layer1.2.bn2,"torch.Size([1, 512, 56, 56])","torch.Size([1, 512, 56, 56])","1,024",6.125,"6,422,528","3,211,264","6,426,624","6,422,528",0.0005888938903808594
37,layer1.2.conv3,"torch.Size([1, 512, 56, 56])","torch.Size([1, 256, 56, 56])","131,072",3.0625,"821,280,768","411,041,792","6,946,816","3,211,264",0.001253366470336914
38,layer1.2.bn3,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.0003504753112792969
39,layer1.2.relu,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",0,3.0625,"802,816","802,816","3,211,264","3,211,264",2.6464462280273438e-05
40,layer1.2.se.avg_pool,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 1, 1])",0,0.0009765625,0,"831,744",0,0,9.489059448242188e-05
41,layer1.2.se.fc.0,"torch.Size([1, 256])","torch.Size([1, 16])","4,096",6.103515625e-05,"8,176","4,096","17,408",64,5.1021575927734375e-05
42,layer1.2.se.fc.1,"torch.Size([1, 16])","torch.Size([1, 16])",0,6.103515625e-05,16,16,64,64,1.3589859008789062e-05
43,layer1.2.se.fc.2,"torch.Size([1, 16])","torch.Size([1, 256])","4,096",0.0009765625,"7,936","4,096","16,448","1,024",2.574920654296875e-05
44,layer1.2.se.fc.3,"torch.Size([1, 256])","torch.Size([1, 256])",0,0.0009765625,0,0,0,0,1.6689300537109375e-05
45,layer2.0.conv1,"torch.Size([1, 256, 56, 56])","torch.Size([1, 1024, 56, 56])","262,144",12.25,"1,640,955,904","822,083,584","4,259,840","12,845,056",0.003526926040649414
46,layer2.0.bn1,"torch.Size([1, 1024, 56, 56])","torch.Size([1, 1024, 56, 56])","2,048",12.25,"12,845,056","6,422,528","12,853,248","12,845,056",0.003659963607788086
47,layer2.0.conv2,"torch.Size([1, 1024, 56, 56])","torch.Size([1, 1024, 28, 28])","147,456",3.0625,"230,408,192","115,605,504","13,434,880","3,211,264",0.0016186237335205078
48,layer2.0.bn2,"torch.Size([1, 1024, 28, 28])","torch.Size([1, 1024, 28, 28])","2,048",3.0625,"3,211,264","1,605,632","3,219,456","3,211,264",0.00036454200744628906
49,layer2.0.conv3,"torch.Size([1, 1024, 28, 28])","torch.Size([1, 512, 28, 28])","524,288",1.53125,"821,682,176","411,041,792","5,308,416","1,605,632",0.0013017654418945312
50,layer2.0.bn3,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])","1,024",1.53125,"1,605,632","802,816","1,609,728","1,605,632",0.00020384788513183594
51,layer2.0.relu,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])",0,1.53125,"401,408","401,408","1,605,632","1,605,632",2.3365020751953125e-05
52,layer2.0.downsample.0,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 28, 28])",0,0.765625,"802,816","802,816","3,211,264","802,816",0.00014710426330566406
53,layer2.0.downsample.1,"torch.Size([1, 256, 28, 28])","torch.Size([1, 512, 28, 28])","131,072",1.53125,"205,119,488","102,760,448","1,327,104","1,605,632",0.0006730556488037109
54,layer2.0.downsample.2,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])","1,024",1.53125,"1,605,632","802,816","1,609,728","1,605,632",0.00020432472229003906
55,layer2.0.se.avg_pool,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 1, 1])",0,0.001953125,0,"430,592",0,0,9.512901306152344e-05
56,layer2.0.se.fc.0,"torch.Size([1, 512])","torch.Size([1, 32])","16,384",0.0001220703125,"32,736","16,384","67,584",128,4.839897155761719e-05
57,layer2.0.se.fc.1,"torch.Size([1, 32])","torch.Size([1, 32])",0,0.0001220703125,32,32,128,128,1.4066696166992188e-05
58,layer2.0.se.fc.2,"torch.Size([1, 32])","torch.Size([1, 512])","16,384",0.001953125,"32,256","16,384","65,664","2,048",2.9325485229492188e-05
59,layer2.0.se.fc.3,"torch.Size([1, 512])","torch.Size([1, 512])",0,0.001953125,0,0,0,0,1.6450881958007812e-05
60,layer2.1.conv1,"torch.Size([1, 512, 28, 28])","torch.Size([1, 1024, 28, 28])","524,288",3.0625,"821,280,768","411,041,792","3,702,784","3,211,264",0.0016033649444580078
61,layer2.1.bn1,"torch.Size([1, 1024, 28, 28])","torch.Size([1, 1024, 28, 28])","2,048",3.0625,"3,211,264","1,605,632","3,219,456","3,211,264",0.0012063980102539062
62,layer2.1.conv2,"torch.Size([1, 1024, 28, 28])","torch.Size([1, 1024, 28, 28])","147,456",3.0625,"230,408,192","115,605,504","3,801,088","3,211,264",0.0010766983032226562
