,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
103,layer3.5.conv3,"torch.Size([1, 256, 14, 14])","torch.Size([1, 1024, 14, 14])","262,144",0.765625,"102,559,744","51,380,224","1,249,280","802,816",0.0003867149353027344
104,layer3.5.bn3,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])","2,048",0.765625,"802,816","401,408","811,008","802,816",0.0001246929168701172
105,layer3.5.relu,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 14, 14])",0,0.765625,"200,704","200,704","802,816","802,816",2.2411346435546875e-05
106,layer4.0.conv1,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 512, 14, 14])","524,288",0.3828125,"205,420,544","102,760,448","2,899,968","401,408",0.001081705093383789
107,layer4.0.bn1,"torch.Size([1, 512, 14, 14])","torch.Size([1, 512, 14, 14])","1,024",0.3828125,"401,408","200,704","405,504","401,408",8.225440979003906e-05
108,layer4.0.conv2,"torch.Size([1, 512, 14, 14])","torch.Size([1, 512, 7, 7])","2,359,296",0.095703125,"231,185,920","115,605,504","9,838,592","100,352",0.001710653305053711
109,layer4.0.bn2,"torch.Size([1, 512, 7, 7])","torch.Size([1, 512, 7, 7])","1,024",0.095703125,"100,352","50,176","104,448","100,352",5.1975250244140625e-05
110,layer4.0.conv3,"torch.Size([1, 512, 7, 7])","torch.Size([1, 2048, 7, 7])","1,048,576",0.3828125,"102,660,096","51,380,224","4,294,656","401,408",0.0009627342224121094
111,layer4.0.bn3,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])","4,096",0.3828125,"401,408","200,704","417,792","401,408",9.72747802734375e-05
112,layer4.0.relu,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])",0,0.3828125,"100,352","100,352","401,408","401,408",1.9073486328125e-05
113,layer4.0.downsample.0,"torch.Size([1, 1024, 14, 14])","torch.Size([1, 1024, 7, 7])",0,0.19140625,"200,704","200,704","802,816","200,704",9.012222290039062e-05
114,layer4.0.downsample.1,"torch.Size([1, 1024, 7, 7])","torch.Size([1, 2048, 7, 7])","2,097,152",0.3828125,"205,420,544","102,760,448","8,589,312","401,408",0.0012011528015136719
115,layer4.0.downsample.2,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])","4,096",0.3828125,"401,408","200,704","417,792","401,408",9.822845458984375e-05
116,layer4.1.conv1,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 512, 7, 7])","1,048,576",0.095703125,"102,735,360","51,380,224","4,595,712","100,352",0.0008709430694580078
117,layer4.1.bn1,"torch.Size([1, 512, 7, 7])","torch.Size([1, 512, 7, 7])","1,024",0.095703125,"100,352","50,176","104,448","100,352",5.2928924560546875e-05
118,layer4.1.conv2,"torch.Size([1, 512, 7, 7])","torch.Size([1, 512, 7, 7])","2,359,296",0.095703125,"231,185,920","115,605,504","9,537,536","100,352",0.0010678768157958984
119,layer4.1.bn2,"torch.Size([1, 512, 7, 7])","torch.Size([1, 512, 7, 7])","1,024",0.095703125,"100,352","50,176","104,448","100,352",5.221366882324219e-05
120,layer4.1.conv3,"torch.Size([1, 512, 7, 7])","torch.Size([1, 2048, 7, 7])","1,048,576",0.3828125,"102,660,096","51,380,224","4,294,656","401,408",0.0004100799560546875
121,layer4.1.bn3,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])","4,096",0.3828125,"401,408","200,704","417,792","401,408",9.584426879882812e-05
122,layer4.1.relu,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])",0,0.3828125,"100,352","100,352","401,408","401,408",1.7881393432617188e-05
123,layer4.2.conv1,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 512, 7, 7])","1,048,576",0.095703125,"102,735,360","51,380,224","4,595,712","100,352",0.0004630088806152344
124,layer4.2.bn1,"torch.Size([1, 512, 7, 7])","torch.Size([1, 512, 7, 7])","1,024",0.095703125,"100,352","50,176","104,448","100,352",5.1021575927734375e-05
125,layer4.2.conv2,"torch.Size([1, 512, 7, 7])","torch.Size([1, 512, 7, 7])","2,359,296",0.095703125,"231,185,920","115,605,504","9,537,536","100,352",0.0007491111755371094
126,layer4.2.bn2,"torch.Size([1, 512, 7, 7])","torch.Size([1, 512, 7, 7])","1,024",0.095703125,"100,352","50,176","104,448","100,352",5.221366882324219e-05
127,layer4.2.conv3,"torch.Size([1, 512, 7, 7])","torch.Size([1, 2048, 7, 7])","1,048,576",0.3828125,"102,660,096","51,380,224","4,294,656","401,408",0.0003631114959716797
128,layer4.2.bn3,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])","4,096",0.3828125,"401,408","200,704","417,792","401,408",9.5367431640625e-05
129,layer4.2.relu,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 7, 7])",0,0.3828125,"100,352","100,352","401,408","401,408",1.7642974853515625e-05
130,avgpool,"torch.Size([1, 2048, 7, 7])","torch.Size([1, 2048, 1, 1])",0,0.0078125,0,"131,072",0,0,0.00016117095947265625
131,fc,"torch.Size([1, 2048])","torch.Size([1, 1000])","2,049,000",0.003814697265625,"4,095,000","2,048,000","8,204,192","4,000",0.0004317760467529297
132,Model,"(1, 3, 224, 224)","torch.Size([1, 1000])","25,586,344",110.26162719726562,"8,258,172,440","4,138,537,984","218,561,184","115,609,504",0.05590510368347168
